grande_area,area,sub_area,espec
CIENCIAS_EXATAS_E_DA_TERRA,Química Analítica,Química Analítica,Microbiologia Aplicada
CIENCIAS_AGRARIAS,Tecnologia de Alimentos,Tecnologia de Alimentos,Tecnologia das Bebidas
CIENCIAS_AGRARIAS,Ciência de Alimentos,Ciência de Alimentos,Microbiologia de Alimentos
CIENCIAS_AGRARIAS,Ciência de Alimentos,Ciência de Alimentos,Avaliação e Controle de Qualidade de Alimentos
CIENCIAS_AGRARIAS,,,
CIENCIAS_AGRARIAS,Biotecnologia,Biotecnologia,
CIENCIAS_EXATAS_E_DA_TERRA,Computação Científica e Processamento de Alto Desempenho,Computação Científica e Processamento de Alto Desempenho,
CIENCIAS_EXATAS_E_DA_TERRA,Áreas Clássicas de Fenomenologia e suas Aplicações,Áreas Clássicas de Fenomenologia e suas Aplicações,
CIENCIAS_EXATAS_E_DA_TERRA,Física da Matéria Condensada,Física da Matéria Condensada,Superfícies e Interfaces; Películas e Filamentos
CIENCIAS_EXATAS_E_DA_TERRA,Computação Científica e Processamento de Alto Desempenho,Computação Científica e Processamento de Alto Desempenho,
CIENCIAS_EXATAS_E_DA_TERRA,Áreas Clássicas de Fenomenologia e suas Aplicações,Áreas Clássicas de Fenomenologia e suas Aplicações,
CIENCIAS_EXATAS_E_DA_TERRA,Físico-Química,Físico-Química,
CIENCIAS_EXATAS_E_DA_TERRA,Matemática Aplicada,Matemática Aplicada,
CIENCIAS_EXATAS_E_DA_TERRA,Matemática Aplicada à Física,Matemática Aplicada à Física,
CIENCIAS_EXATAS_E_DA_TERRA,Metodologia e Técnicas da Computação,Metodologia e Técnicas da Computação,Engenharia de Software
CIENCIAS_EXATAS_E_DA_TERRA,Metodologia e Técnicas da Computação,Metodologia e Técnicas da Computação,Engenharia de Software
CIENCIAS_EXATAS_E_DA_TERRA,Metodologia e Técnicas da Computação,Metodologia e Técnicas da Computação,Inteligência Artificial
CIENCIAS_EXATAS_E_DA_TERRA,Probabilidade,Probabilidade,Ensino Aprendizagem de Probabilidade
CIENCIAS_EXATAS_E_DA_TERRA,,,
ENGENHARIAS,,,
ENGENHARIAS,Tecnologia Química,Tecnologia Química,
CIENCIAS_AGRARIAS,,,
CIENCIAS_AGRARIAS,Engenharia de Alimentos,Engenharia de Alimentos,
ENGENHARIAS,Tecnologia Química,Tecnologia Química,Produtos Naturais
ENGENHARIAS,Tecnologia Química,Tecnologia Química,Tratamentos e Aproveitamento de Rejeitos
ENGENHARIAS,Tecnologia Química,Tecnologia Química,Produtos Naturais
CIENCIAS_AGRARIAS,Engenharia de Alimentos,Engenharia de Alimentos,
CIENCIAS_EXATAS_E_DA_TERRA,Química Analítica,Química Analítica,
CIENCIAS_EXATAS_E_DA_TERRA,Física da Matéria Condensada,Física da Matéria Condensada,Supercondutividade
CIENCIAS_EXATAS_E_DA_TERRA,Física da Matéria Condensada,Física da Matéria Condensada,
CIENCIAS_HUMANAS,Meio Ambiente,Meio Ambiente,Meio Ambiente
CIENCIAS_EXATAS_E_DA_TERRA,Metodologia e Técnicas da Computação,Metodologia e Técnicas da Computação,Neurocomputação
CIENCIAS_EXATAS_E_DA_TERRA,Metodologia e Técnicas da Computação,Metodologia e Técnicas da Computação,Computação de Alto Desempenho
CIENCIAS_EXATAS_E_DA_TERRA,Metodologia e Técnicas da Computação,Metodologia e Técnicas da Computação,Processamento de Imagens
CIENCIAS_EXATAS_E_DA_TERRA,,,
CIENCIAS_EXATAS_E_DA_TERRA,,,
ENGENHARIAS,,,
CIENCIAS_EXATAS_E_DA_TERRA,Educação Matemática,Educação Matemática,
CIENCIAS_EXATAS_E_DA_TERRA,Educação Matemática,Educação Matemática,
ENGENHARIAS,Processos de Fabricação,Processos de Fabricação,Processos de União
CIENCIAS_EXATAS_E_DA_TERRA,Físico-Química,Físico-Química,Eletroquímica
CIENCIAS_EXATAS_E_DA_TERRA,Química Orgânica,Química Orgânica,Síntese Orgânica
CIENCIAS_EXATAS_E_DA_TERRA,Físico-Química,Físico-Química,Eletroquímica
CIENCIAS_EXATAS_E_DA_TERRA,Físico-Química,Físico-Química,Novos Materiais
CIENCIAS_EXATAS_E_DA_TERRA,Inteligência Artificial,Inteligência Artificial,Lógica Fuzzy
CIENCIAS_EXATAS_E_DA_TERRA,Inteligência Artificial,Inteligência Artificial,Computação Evolucionária
CIENCIAS_EXATAS_E_DA_TERRA,Inteligência Artificial,Inteligência Artificial,Sistemas Fuzzy-Genéticos
CIENCIAS_EXATAS_E_DA_TERRA,Inteligência Artificial,Inteligência Artificial,Computação Bio-Inspirada
CIENCIAS_EXATAS_E_DA_TERRA,Inteligência Artificial,Inteligência Artificial,Redes Bayesianas
CIENCIAS_EXATAS_E_DA_TERRA,Inteligência Artificial,Inteligência Artificial,Redes Neurais
ENGENHARIAS,Instrumentação Médica,Instrumentação Médica,Processamento de Sinais
ENGENHARIAS,,,
ENGENHARIAS,Processamento Digital de Sinais,Processamento Digital de Sinais,
ENGENHARIAS,Processamento Digital de Sinais,Processamento Digital de Sinais,Processamento de Sinais de Voz
CIENCIAS_EXATAS_E_DA_TERRA,Probabilidade e Estatística Aplicadas,Probabilidade e Estatística Aplicadas,
CIENCIAS_SOCIAIS_APLICADAS,Administração de Setores Específicos,Administração de Setores Específicos,
CIENCIAS_HUMANAS,Planejamento e Avaliação Educacional,Planejamento e Avaliação Educacional,Avaliação de Sistemas\, Instituições\, Planos e Programas Educacionais
CIENCIAS_HUMANAS,,,
CIENCIAS_EXATAS_E_DA_TERRA,Ensino de Física,Ensino de Física,
CIENCIAS_HUMANAS,Formação continuada,Formação continuada,
CIENCIAS_HUMANAS,Ensino-Aprendizagem,Ensino-Aprendizagem,
CIENCIAS_BIOLOGICAS,Genética Animal,Genética Animal,
CIENCIAS_BIOLOGICAS,,,
CIENCIAS_BIOLOGICAS,,,
CIENCIAS_BIOLOGICAS,,,
CIENCIAS_HUMANAS,História do Brasil,História do Brasil,
CIENCIAS_HUMANAS,História do Brasil,História do Brasil,História das ervas medicinais no Brasil
CIENCIAS_BIOLOGICAS,,,
CIENCIAS_HUMANAS,,,
ENGENHARIAS,,,
ENGENHARIAS,,,
CIENCIAS_BIOLOGICAS,Genética Animal,Genética Animal,
CIENCIAS_BIOLOGICAS,Genética Humana e Médica,Genética Humana e Médica,
CIENCIAS_DA_SAUDE,Medicina Preventiva,Medicina Preventiva,
CIENCIAS_DA_SAUDE,,,
CIENCIAS_EXATAS_E_DA_TERRA,Física da Matéria Condensada,Física da Matéria Condensada,Superfícies e Interfaces; Películas e Filamentos
CIENCIAS_SOCIAIS_APLICADAS,Administração de Empresas e Gestão Estratégicas de Negócios,Administração de Empresas e Gestão Estratégicas de Negócios,
CIENCIAS_SOCIAIS_APLICADAS,Projeto de Arquietura,Projeto de Arquietura,Patrimônio Arquitetônico Ferroviário
CIENCIAS_SOCIAIS_APLICADAS,Projeto de Arquietura,Projeto de Arquietura,Patrimônio Cultural
CIENCIAS_EXATAS_E_DA_TERRA,Física Geral,Física Geral,Física Clássica e Física Quântica; Mecânica e Campos
CIENCIAS_EXATAS_E_DA_TERRA,Física Nuclear,Física Nuclear,Reações Nucleares e Espalhamento Geral
CIENCIAS_EXATAS_E_DA_TERRA,Física de Partículas Elementares e Campos,Física de Partículas Elementares e Campos,Reações Específicas e Fenomenologia de Partículas
CIENCIAS_EXATAS_E_DA_TERRA,Física das Partículas Elementares e Campos,Física das Partículas Elementares e Campos,Teorias Específicas e Modelos de Interação; Sistemática de Partículas; Raios Cósmicos
CIENCIAS_EXATAS_E_DA_TERRA,Física Nuclear,Física Nuclear,Métodos Experimentais e Instrumentação para Partículas Elementares e Física Nuclear
CIENCIAS_EXATAS_E_DA_TERRA,Física Nuclear,Física Nuclear,Estrutura Nuclear
CIENCIAS_EXATAS_E_DA_TERRA,Física dos Fluídos\, Física de Plasmas e Descargas Elétricas,Física dos Fluídos\, Física de Plasmas e Descargas Elétricas,Física de Plasmas e Descargas Elétricas
CIENCIAS_EXATAS_E_DA_TERRA,Física dos Fluídos\, Física de Plasmas e Descargas Elétricas,Física dos Fluídos\, Física de Plasmas e Descargas Elétricas,Física de Plasmas e Descargas Elétricas
ENGENHARIAS,Eletrônica Industrial\, Sistemas e Controles Eletrônicos,Eletrônica Industrial\, Sistemas e Controles Eletrônicos,
ENGENHARIAS,Telecomunicações,Telecomunicações,Sistemas de Telecomunicações
